latitude,longitude,topo
degrees_north,degrees_east,meters
44.39166667,-71.23333333,365
44.39166667,-71.225,331
44.39166667,-71.21666667,383
44.39166667,-71.20833333,405
44.39166667,-71.2,329
44.39166667,-71.19166667,284
44.39166667,-71.18333333,252
44.39166667,-71.175,242
44.39166667,-71.16666667,242
44.39166667,-71.15833333,237
44.39166667,-71.15,242
44.39166667,-71.14166667,251
44.39166667,-71.13333333,279
44.39166667,-71.125,345
44.39166667,-71.11666667,404
44.39166667,-71.10833333,358
44.39166667,-71.1,433
44.39166667,-71.09166667,405
44.39166667,-71.08333333,282
44.39166667,-71.075,303
44.39166667,-71.06666667,326
44.39166667,-71.05833333,329
44.39166667,-71.05,345
44.39166667,-71.04166667,288
44.39166667,-71.03333333,240
44.39166667,-71.025,222
44.39166667,-71.01666667,225
44.39166667,-71.00833333,268
44.39166667,-71,354
44.38333333,-71.9,439
44.38333333,-71.89166667,467
44.38333333,-71.88333333,490
44.38333333,-71.875,469
44.38333333,-71.86666667,429
44.38333333,-71.85833333,373
44.38333333,-71.85,377
44.38333333,-71.84166667,401
44.38333333,-71.83333333,340
44.38333333,-71.825,269
44.38333333,-71.81666667,236
44.38333333,-71.80833333,258
44.38333333,-71.8,298
44.38333333,-71.79166667,340
44.38333333,-71.78333333,379
44.38333333,-71.775,439
44.38333333,-71.76666667,428
44.38333333,-71.75833333,469
44.38333333,-71.75,475
44.38333333,-71.74166667,450
44.38333333,-71.73333333,405
44.38333333,-71.725,376
44.38333333,-71.71666667,485
44.38333333,-71.70833333,513
44.38333333,-71.7,496
44.38333333,-71.69166667,516
44.38333333,-71.68333333,559
44.38333333,-71.675,543
44.38333333,-71.66666667,404
44.38333333,-71.65833333,355
44.38333333,-71.65,317
44.38333333,-71.64166667,318
44.38333333,-71.63333333,306
44.38333333,-71.625,282
44.38333333,-71.61666667,308
44.38333333,-71.60833333,336
44.38333333,-71.6,337
44.38333333,-71.59166667,344
44.38333333,-71.58333333,336
44.38333333,-71.575,342
44.38333333,-71.56666667,337
44.38333333,-71.55833333,334
44.38333333,-71.55,333
44.38333333,-71.54166667,339
44.38333333,-71.53333333,336
44.38333333,-71.525,348
44.38333333,-71.51666667,341
44.38333333,-71.50833333,344
44.38333333,-71.5,351
44.38333333,-71.49166667,338
44.38333333,-71.48333333,334
44.38333333,-71.475,333
44.38333333,-71.46666667,340
44.38333333,-71.45833333,351
44.38333333,-71.45,360
44.38333333,-71.44166667,371
44.38333333,-71.43333333,392
44.38333333,-71.425,424
44.38333333,-71.41666667,462
44.38333333,-71.40833333,505
44.38333333,-71.4,560
44.38333333,-71.39166667,597
44.38333333,-71.38333333,616
44.38333333,-71.375,644
44.38333333,-71.36666667,659
44.38333333,-71.35833333,697
44.38333333,-71.35,756
44.38333333,-71.34166667,742
44.38333333,-71.33333333,689
44.38333333,-71.325,685
44.38333333,-71.31666667,651
44.38333333,-71.30833333,574
44.38333333,-71.3,510
44.38333333,-71.29166667,469
44.38333333,-71.28333333,452
44.38333333,-71.275,450
44.38333333,-71.26666667,445
44.38333333,-71.25833333,443
44.38333333,-71.25,428
44.38333333,-71.24166667,405
44.38333333,-71.23333333,367
44.38333333,-71.225,413
44.38333333,-71.21666667,460
44.38333333,-71.20833333,514
44.38333333,-71.2,454
44.38333333,-71.19166667,388
44.38333333,-71.18333333,346
44.38333333,-71.175,276
44.38333333,-71.16666667,309
44.38333333,-71.15833333,342
44.38333333,-71.15,341
44.38333333,-71.14166667,364
44.38333333,-71.13333333,397
44.38333333,-71.125,458
44.38333333,-71.11666667,487
44.38333333,-71.10833333,459
44.38333333,-71.1,540
44.38333333,-71.09166667,537
44.38333333,-71.08333333,409
44.38333333,-71.075,396
44.38333333,-71.06666667,386
44.38333333,-71.05833333,450
44.38333333,-71.05,406
44.38333333,-71.04166667,314
44.38333333,-71.03333333,280
44.38333333,-71.025,248
44.38333333,-71.01666667,267
44.38333333,-71.00833333,340
44.38333333,-71,345
44.375,-71.9,389
44.375,-71.89166667,447
44.375,-71.88333333,456
44.375,-71.875,481
44.375,-71.86666667,411
44.375,-71.85833333,352
44.375,-71.85,311
44.375,-71.84166667,331
44.375,-71.83333333,265
44.375,-71.825,244
44.375,-71.81666667,237
44.375,-71.80833333,281
44.375,-71.8,322
44.375,-71.79166667,359
44.375,-71.78333333,445
44.375,-71.775,539
44.375,-71.76666667,537
44.375,-71.75833333,529
44.375,-71.75,513
44.375,-71.74166667,492
